resolution,video_id,subfolder,seconds
youtubematte_512x288,0030,youtubematte_motion,5
youtubematte_512x288,0031,youtubematte_motion,5
youtubematte_512x288,0000,youtubematte_static,5
youtubematte_512x288,0001,youtubematte_static,5
youtubematte_512x288,0002,youtubematte_static,4
youtubematte_512x288,0003,youtubematte_static,5
youtubematte_512x288,0004,youtubematte_static,5
youtubematte_512x288,0005,youtubematte_static,4
youtubematte_512x288,0006,youtubematte_static,5
youtubematte_512x288,0007,youtubematte_static,4
youtubematte_512x288,0008,youtubematte_static,5
youtubematte_512x288,0009,youtubematte_static,5
youtubematte_512x288,0010,youtubematte_static,4
youtubematte_512x288,0011,youtubematte_static,5
youtubematte_512x288,0012,youtubematte_static,4
youtubematte_512x288,0013,youtubematte_static,5
youtubematte_512x288,0014,youtubematte_static,4
youtubematte_512x288,0015,youtubematte_static,5
youtubematte_512x288,0016,youtubematte_static,4
youtubematte_512x288,0017,youtubematte_static,5
youtubematte_512x288,0018,youtubematte_static,5
youtubematte_512x288,0019,youtubematte_static,4
youtubematte_512x288,0020,youtubematte_static,5
youtubematte_512x288,0021,youtubematte_static,4
youtubematte_512x288,0022,youtubematte_static,5
youtubematte_512x288,0023,youtubematte_static,4
youtubematte_512x288,0024,youtubematte_static,5
youtubematte_512x288,0025,youtubematte_static,4
youtubematte_512x288,0026,youtubematte_static,5
youtubematte_512x288,0027,youtubematte_static,5
youtubematte_512x288,0028,youtubematte_static,5
youtubematte_512x288,0029,youtubematte_static,4
youtubematte_512x288,0030,youtubematte_static,5
youtubematte_512x288,0031,youtubematte_static,4
